Q(s,a):
State                              | forward  | right    | left     | None     |
f:True,r:True,l:True,dd:forward    | 3.067439 | 0.877194 | 1.108856 | 0.991155 |
f:True,r:True,l:True,dd:right      | 1.095844 | 3.255007 | 1.198139 | 1.503129 |
f:True,r:True,l:True,dd:left       | 0.918586 | 1.163471 | 2.984528 | 1.334846 |
f:True,r:True,l:False,dd:forward   | 0        | 0        | 0        | 1.007416 |
f:True,r:True,l:False,dd:right     | 0        | 0        | 0        | 0        |
f:True,r:True,l:False,dd:left      | 0.021285 | 0        | 0        | 0        |
f:True,r:False,l:True,dd:forward   | 0        | 0        | 0        | 0        |
f:True,r:False,l:True,dd:right     | 0        | 0        | 0        | 0        |
f:True,r:False,l:True,dd:left      | 0        | 0        | 0        | 0        |
f:True,r:False,l:False,dd:forward  | 0        | 0        | 0        | 0        |
f:True,r:False,l:False,dd:right    | 0        | 0        | 0        | 0        |
f:True,r:False,l:False,dd:left     | 0        | 0        | 0        | 0        |
f:False,r:True,l:True,dd:forward   | 0        | 0        | 0        | 0        |
f:False,r:True,l:True,dd:right     | 0        | 0        | 0        | 0        |
f:False,r:True,l:True,dd:left      | 0        | 0        | 0        | 0        |
f:False,r:True,l:False,dd:forward  | 0.190032 | 0.044904 | 0.058072 | 0.509619 |
f:False,r:True,l:False,dd:right    | 0.543104 | 3.629221 | 0.658573 | 1.642707 |
f:False,r:True,l:False,dd:left     | -0.56860 | 1.195379 | 0.341296 | 0.443605 |
f:False,r:False,l:True,dd:forward  | 0        | 0        | 0        | 0        |
f:False,r:False,l:True,dd:right    | 0        | 0        | 0        | 0        |
f:False,r:False,l:True,dd:left     | 0        | 0        | 0        | 0        |
f:False,r:False,l:False,dd:forward | 0        | 0        | 0        | 0        |
f:False,r:False,l:False,dd:right   | 0        | 0        | 0        | 0        |
f:False,r:False,l:False,dd:left    | 0        | -0.47046 | 0        | 0        |

N(s,a):
State                              | forward  | right    | left     | None     |
f:True,r:True,l:True,dd:forward    | 278      | 11       | 11       | 22       |
f:True,r:True,l:True,dd:right      | 20       | 146      | 19       | 24       |
f:True,r:True,l:True,dd:left       | 22       | 25       | 89       | 19       |
f:True,r:True,l:False,dd:forward   | 0        | 0        | 0        | 2        |
f:True,r:True,l:False,dd:right     | 0        | 0        | 0        | 0        |
f:True,r:True,l:False,dd:left      | 1        | 0        | 0        | 0        |
f:True,r:False,l:True,dd:forward   | 0        | 0        | 0        | 0        |
f:True,r:False,l:True,dd:right     | 0        | 0        | 0        | 0        |
f:True,r:False,l:True,dd:left      | 0        | 0        | 0        | 0        |
f:True,r:False,l:False,dd:forward  | 0        | 0        | 0        | 0        |
f:True,r:False,l:False,dd:right    | 0        | 0        | 0        | 0        |
f:True,r:False,l:False,dd:left     | 0        | 0        | 0        | 0        |
f:False,r:True,l:True,dd:forward   | 0        | 0        | 0        | 0        |
f:False,r:True,l:True,dd:right     | 0        | 0        | 0        | 0        |
f:False,r:True,l:True,dd:left      | 0        | 0        | 0        | 0        |
f:False,r:True,l:False,dd:forward  | 16       | 114      | 14       | 276      |
f:False,r:True,l:False,dd:right    | 10       | 188      | 20       | 22       |
f:False,r:True,l:False,dd:left     | 23       | 56       | 28       | 55       |
f:False,r:False,l:True,dd:forward  | 0        | 0        | 0        | 0        |
f:False,r:False,l:True,dd:right    | 0        | 0        | 0        | 0        |
f:False,r:False,l:True,dd:left     | 0        | 0        | 0        | 0        |
f:False,r:False,l:False,dd:forward | 0        | 0        | 0        | 0        |
f:False,r:False,l:False,dd:right   | 0        | 0        | 0        | 0        |
f:False,r:False,l:False,dd:left    | 0        | 1        | 0        | 0        |
