State,forward,right,left,None
tl:green_o:forward_r:forward_l:forward_dd:forward,0,0,0,0
tl:green_o:forward_r:forward_l:forward_dd:right,0,0,0,0
tl:green_o:forward_r:forward_l:forward_dd:left,0,0,0,0
tl:green_o:forward_r:forward_l:right_dd:forward,0,0,0,0
tl:green_o:forward_r:forward_l:right_dd:right,0,0,0,0
tl:green_o:forward_r:forward_l:right_dd:left,0,0,0,0
tl:green_o:forward_r:forward_l:left_dd:forward,0,0,0,0
tl:green_o:forward_r:forward_l:left_dd:right,0,0,0,0
tl:green_o:forward_r:forward_l:left_dd:left,0,0,0,0
tl:green_o:forward_r:forward_l:None_dd:forward,0,0,0,0
tl:green_o:forward_r:forward_l:None_dd:right,0,0,0,0
tl:green_o:forward_r:forward_l:None_dd:left,0,0,0,0
tl:green_o:forward_r:right_l:forward_dd:forward,0,0,0,0
tl:green_o:forward_r:right_l:forward_dd:right,0,0,0,0
tl:green_o:forward_r:right_l:forward_dd:left,0,0,0,0
tl:green_o:forward_r:right_l:right_dd:forward,0,0,0,0
tl:green_o:forward_r:right_l:right_dd:right,0,0,0,0
tl:green_o:forward_r:right_l:right_dd:left,0,0,0,0
tl:green_o:forward_r:right_l:left_dd:forward,0,0,0,0
tl:green_o:forward_r:right_l:left_dd:right,0,0,0,0
tl:green_o:forward_r:right_l:left_dd:left,0,0,0,0
tl:green_o:forward_r:right_l:None_dd:forward,0,0,0,0
tl:green_o:forward_r:right_l:None_dd:right,0,0,0,0
tl:green_o:forward_r:right_l:None_dd:left,0,0,0,0
tl:green_o:forward_r:left_l:forward_dd:forward,0,0,0,0
tl:green_o:forward_r:left_l:forward_dd:right,0,0,0,0
tl:green_o:forward_r:left_l:forward_dd:left,0,0,0,0
tl:green_o:forward_r:left_l:right_dd:forward,0,0,0,0
tl:green_o:forward_r:left_l:right_dd:right,0,0,0,0
tl:green_o:forward_r:left_l:right_dd:left,0,0,0,0
tl:green_o:forward_r:left_l:left_dd:forward,0,0,0,0
tl:green_o:forward_r:left_l:left_dd:right,0,0,0,0
tl:green_o:forward_r:left_l:left_dd:left,0,0,0,0
tl:green_o:forward_r:left_l:None_dd:forward,0,0,0,0
tl:green_o:forward_r:left_l:None_dd:right,0,0,0,0
tl:green_o:forward_r:left_l:None_dd:left,0,0,0,0
tl:green_o:forward_r:None_l:forward_dd:forward,0,0,0,0
tl:green_o:forward_r:None_l:forward_dd:right,0,0,0,0
tl:green_o:forward_r:None_l:forward_dd:left,0,0,0,0
tl:green_o:forward_r:None_l:right_dd:forward,0,0,0,0
tl:green_o:forward_r:None_l:right_dd:right,0,0,0,0
tl:green_o:forward_r:None_l:right_dd:left,0,0,0,0
tl:green_o:forward_r:None_l:left_dd:forward,0,0,0,0
tl:green_o:forward_r:None_l:left_dd:right,0,0,0,0
tl:green_o:forward_r:None_l:left_dd:left,0,0,0,0
tl:green_o:forward_r:None_l:None_dd:forward,0,0,0,0
tl:green_o:forward_r:None_l:None_dd:right,0,0,0,0
tl:green_o:forward_r:None_l:None_dd:left,0,0,0,0.106332
tl:green_o:right_r:forward_l:forward_dd:forward,0,0,0,0
tl:green_o:right_r:forward_l:forward_dd:right,0,0,0,0
tl:green_o:right_r:forward_l:forward_dd:left,0,0,0,0
tl:green_o:right_r:forward_l:right_dd:forward,0,0,0,0
tl:green_o:right_r:forward_l:right_dd:right,0,0,0,0
tl:green_o:right_r:forward_l:right_dd:left,0,0,0,0
tl:green_o:right_r:forward_l:left_dd:forward,0,0,0,0
tl:green_o:right_r:forward_l:left_dd:right,0,0,0,0
tl:green_o:right_r:forward_l:left_dd:left,0,0,0,0
tl:green_o:right_r:forward_l:None_dd:forward,0,0,0,0
tl:green_o:right_r:forward_l:None_dd:right,0,0,0,0
tl:green_o:right_r:forward_l:None_dd:left,0,0,0,0
tl:green_o:right_r:right_l:forward_dd:forward,0,0,0,0
tl:green_o:right_r:right_l:forward_dd:right,0,0,0,0
tl:green_o:right_r:right_l:forward_dd:left,0,0,0,0
tl:green_o:right_r:right_l:right_dd:forward,0,0,0,0
tl:green_o:right_r:right_l:right_dd:right,0,0,0,0
tl:green_o:right_r:right_l:right_dd:left,0,0,0,0
tl:green_o:right_r:right_l:left_dd:forward,0,0,0,0
tl:green_o:right_r:right_l:left_dd:right,0,0,0,0
