,total_reward,negative_reward,trial_length,reached_destination
0,25.0,-7.0,26,True
1,38.0,-10.0,44,True
2,26.0,0.0,10,True
3,19.5,-0.5,11,True
4,24.0,-2.0,14,True
5,25.5,-4.5,22,True
6,24.0,0.0,10,True
7,17.0,-1.0,9,True
8,21.5,-0.5,8,True
9,25.0,-1.0,21,True
10,18.0,0.0,5,True
11,31.0,-3.0,23,True
12,26.5,-1.5,19,True
13,28.0,-2.0,27,True
14,21.5,-0.5,21,True
15,21.0,-1.0,19,True
16,17.5,-2.5,16,True
17,31.5,-0.5,33,True
18,22.0,0.0,9,True
19,30.0,0.0,27,True
20,20.0,0.0,13,True
21,18.0,0.0,7,True
22,27.0,-3.0,21,True
23,25.0,-1.0,25,True
24,20.0,0.0,11,True
25,20.0,0.0,11,True
26,20.0,0.0,9,True
27,32.5,-1.5,24,True
28,26.0,0.0,17,True
29,24.0,0.0,15,True
30,28.0,0.0,22,True
31,18.0,0.0,9,True
32,26.0,-2.0,14,True
33,18.0,0.0,6,True
34,20.0,0.0,8,True
35,30.0,0.0,13,True
36,24.0,0.0,17,True
37,24.0,0.0,21,True
38,18.0,0.0,6,True
39,20.0,0.0,11,True
40,24.0,0.0,13,True
41,29.0,-1.0,25,True
42,22.0,0.0,12,True
43,26.0,0.0,13,True
44,26.0,0.0,13,True
45,28.0,0.0,21,True
46,33.0,-1.0,29,True
47,33.5,-0.5,21,True
48,20.0,0.0,7,True
49,23.5,-0.5,16,True
50,19.0,-1.0,16,True
51,23.5,-0.5,20,True
52,28.0,0.0,14,True
53,23.5,-2.5,25,True
54,21.0,-1.0,7,True
55,18.0,0.0,10,True
56,20.0,0.0,9,True
57,18.0,0.0,6,True
58,25.5,-0.5,12,True
59,18.0,0.0,17,True
60,29.5,-0.5,19,True
61,25.5,-0.5,18,True
62,24.0,0.0,14,True
63,26.0,0.0,11,True
64,19.5,-0.5,15,True
65,24.0,0.0,9,True
66,18.0,0.0,4,True
67,20.5,-1.5,17,True
68,24.0,0.0,25,True
69,20.0,0.0,13,True
70,25.0,-1.0,16,True
71,23.0,-1.0,12,True
72,18.0,0.0,16,True
73,28.0,0.0,17,True
74,44.0,-2.0,30,True
75,18.0,0.0,8,True
76,26.0,0.0,16,True
77,22.0,0.0,19,True
78,21.0,-1.0,9,True
79,19.5,-0.5,8,True
80,31.5,-0.5,20,True
81,24.0,0.0,16,True
82,20.0,0.0,15,True
83,18.0,0.0,10,True
84,18.0,0.0,13,True
85,20.0,0.0,11,True
86,18.0,0.0,8,True
87,23.5,-0.5,16,True
88,28.0,0.0,12,True
89,25.0,-1.0,18,True
90,30.0,0.0,23,True
91,25.5,-0.5,14,True
92,24.0,0.0,22,True
93,26.0,0.0,11,True
94,24.0,0.0,16,True
95,20.0,0.0,7,True
96,24.0,0.0,10,True
97,26.0,0.0,11,True
98,22.0,0.0,10,True
99,32.0,0.0,22,True
