,total_reward,negative_reward,trial_length,reached_destination
0,17.0,-5.0,17,True
1,-19.5,-27.5,51,False
2,6.0,-14.0,41,False
3,-3.0,-15.0,36,False
4,5.0,-13.0,31,False
5,-4.0,-12.0,26,False
6,-11.0,-15.0,36,False
7,13.5,-0.5,4,True
8,-5.0,-13.0,31,False
9,2.5,-13.5,36,False
10,10.5,-13.5,35,True
11,4.0,-6.0,21,False
12,21.0,-3.0,14,True
13,-3.5,-7.5,21,False
14,1.5,-12.5,36,False
15,-8.5,-14.5,26,False
16,-4.5,-10.5,31,False
17,6.0,-8.0,21,False
18,10.5,-1.0,5,True
19,3.0,-11.0,26,False
20,2.5,-9.5,26,False
21,2.0,-10.0,21,False
22,-3.0,-7.0,21,False
23,-2.5,-16.5,41,False
24,4.0,-22.0,56,False
25,-1.0,-7.0,21,False
26,-9.5,-15.5,36,False
27,-4.0,-12.0,31,False
28,-3.0,-19.0,41,False
29,-1.0,-7.0,21,False
30,-5.5,-17.5,36,False
31,6.0,-12.0,36,False
32,2.5,-15.5,36,False
33,-5.5,-19.5,46,False
34,0.0,-8.0,21,False
35,1.0,-11.0,31,False
36,-2.0,-10.0,21,False
37,-1.5,-9.5,31,False
38,-3.0,-13.0,31,False
39,-4.0,-12.0,31,False
40,0.0,-12.0,31,False
41,0.5,-15.5,41,False
42,9.5,-4.0,11,True
43,-1.5,-15.5,36,False
44,-1.5,-17.5,41,False
45,-3.5,-11.5,26,False
46,-4.0,-10.0,26,False
47,4.5,-7.0,17,True
48,0.0,-10.0,26,False
49,-5.0,-13.0,26,False
50,-10.0,-18.0,31,False
51,-6.5,-10.5,26,False
52,-4.5,-14.5,31,False
53,16.5,-3.5,12,True
54,-4.5,-12.5,26,False
55,16.5,-3.5,13,True
56,13.5,-2.5,9,True
57,0.0,-20.0,46,False
58,-9.5,-11.5,21,False
59,-1.5,-7.5,21,False
60,-9.5,-13.5,26,False
61,-3.0,-7.0,21,False
62,1.0,-13.0,31,False
63,-5.0,-11.0,21,False
64,-2.0,-10.0,26,False
65,-6.0,-10.0,21,False
66,0.5,-11.5,31,False
67,-8.5,-22.5,56,False
68,15.0,-1.0,5,True
69,4.5,-9.5,31,False
70,-3.0,-9.0,26,False
71,-2.0,-12.0,26,False
72,7.0,-7.0,26,False
73,-2.5,-14.5,36,False
74,-6.0,-12.0,26,False
75,-10.0,-12.0,21,False
76,2.5,-9.5,26,False
77,0.0,-10.0,26,False
78,8.0,-1.5,4,True
79,-4.0,-16.0,31,False
80,-7.0,-13.0,26,False
81,-9.5,-13.5,26,False
82,-6.0,-14.0,31,False
83,0.5,-11.5,26,False
84,-0.5,-12.5,31,False
85,-1.0,-17.0,36,False
86,10.0,-10.0,22,True
87,-13.0,-21.0,36,False
88,9.0,-15.0,41,False
89,6.0,-6.0,21,False
90,-6.5,-18.5,46,False
91,-2.5,-10.5,21,False
92,-4.0,-8.0,21,False
93,10.0,-10.0,23,True
94,2.0,-10.0,31,False
95,4.0,-16.0,46,False
96,3.0,-13.0,31,False
97,-9.5,-11.5,26,False
98,-5.0,-11.0,21,False
99,3.0,-15.0,41,False
