,total_reward,negative_reward,trial_length,reached_destination
0,18.0,0.0,4,True
1,18.0,-2.0,7,True
2,18.0,0.0,4,True
3,18.0,-8.0,16,True
4,15.0,-7.0,13,True
5,20.0,-8.0,17,True
6,7.0,-15.0,21,True
7,8.0,-12.0,17,True
8,14.0,-6.0,11,True
9,14.0,-4.0,8,True
10,12.0,-6.0,10,True
11,11.0,-11.0,17,True
12,17.0,-9.0,17,True
13,16.0,-2.0,6,True
14,12.0,-10.0,16,True
15,14.0,-18.0,29,True
16,12.0,-6.0,10,True
17,10.0,-12.0,18,True
18,25.0,-1.0,9,True
19,17.0,-5.0,11,True
20,17.0,-3.0,8,True
21,11.0,-15.0,23,True
22,15.0,-3.0,7,True
23,18.0,-4.0,10,True
24,12.0,-14.0,22,True
25,15.0,-5.0,10,True
26,10.0,-12.0,18,True
27,20.0,-2.0,8,True
28,22.0,0.0,6,True
29,11.0,-7.0,11,True
30,15.0,-5.0,10,True
31,10.0,-14.0,21,True
32,14.0,0.0,2,True
33,13.0,-7.0,12,True
34,19.0,-3.0,9,True
35,18.0,-6.0,13,True
36,27.0,-1.0,10,True
37,18.0,0.0,4,True
38,23.0,-1.0,8,True
39,20.0,-6.0,14,True
40,20.0,-4.0,11,True
41,9.0,-11.0,16,True
42,19.0,-3.0,9,True
43,22.0,-8.0,18,True
44,14.0,-10.0,17,True
45,23.0,-7.0,17,True
46,13.0,-11.0,18,True
47,12.0,-12.0,19,True
48,20.0,0.0,5,True
49,15.0,-3.0,7,True
50,11.0,-13.0,20,True
51,15.0,-9.0,16,True
52,9.0,-9.0,13,True
53,12.0,-6.0,10,True
54,17.0,-5.0,11,True
55,6.0,-18.0,25,True
56,17.0,-5.0,11,True
57,6.0,-12.0,16,True
58,18.0,-14.0,25,True
59,15.0,-3.0,7,True
60,12.0,-8.0,13,True
61,5.0,-19.0,26,True
62,15.0,-9.0,16,True
63,17.0,-5.0,11,True
64,20.0,-4.0,11,True
65,11.0,-7.0,11,True
66,10.0,-12.0,18,True
67,17.0,-3.0,8,True
68,9.0,-9.0,13,True
69,21.0,-5.0,13,True
70,20.0,-8.0,17,True
71,13.0,-13.0,21,True
72,14.0,-10.0,17,True
73,11.0,-7.0,11,True
74,13.0,-7.0,12,True
75,12.0,-16.0,25,True
76,12.0,-6.0,10,True
77,13.0,-9.0,15,True
78,29.0,-5.0,17,True
79,16.0,-6.0,12,True
80,16.0,-2.0,6,True
81,23.0,-9.0,20,True
82,16.0,0.0,3,True
83,15.0,-7.0,13,True
84,12.0,-8.0,13,True
85,19.0,-7.0,15,True
86,17.0,-3.0,8,True
87,17.0,-5.0,11,True
88,24.0,-2.0,10,True
89,21.0,-1.0,7,True
90,11.0,-9.0,14,True
91,11.0,-13.0,20,True
92,6.0,-14.0,19,True
93,14.0,-4.0,8,True
94,23.0,-3.0,11,True
95,21.0,-3.0,10,True
96,17.0,-1.0,5,True
97,23.0,-3.0,11,True
98,20.0,-2.0,8,True
99,13.0,-7.0,12,True
