,total_reward,negative_reward,trial_length,reached_destination
0,28.0,0,21,True
1,22.0,0,6,True
2,20.0,0,13,True
3,18.0,0,11,True
4,26.0,0,17,True
5,24.0,0,14,True
6,18.0,0,13,True
7,18.0,0,8,True
8,20.0,0,8,True
9,20.0,0,9,True
10,20.0,0,12,True
11,20.0,0,12,True
12,24.0,0,17,True
13,26.0,0,21,True
14,26.0,0,11,True
15,24.0,0,10,True
16,18.0,0,4,True
17,22.0,0,13,True
18,24.0,0,11,True
19,20.0,0,8,True
20,22.0,0,7,True
21,18.0,0,4,True
22,20.0,0,13,True
23,24.0,0,10,True
24,24.0,0,10,True
25,20.0,0,11,True
26,22.0,0,16,True
27,18.0,0,10,True
28,20.0,0,17,True
29,22.0,0,8,True
30,20.0,0,21,True
31,18.0,0,8,True
32,18.0,0,6,True
33,18.0,0,9,True
34,18.0,0,5,True
35,22.0,0,8,True
36,18.0,0,6,True
37,30.0,0,26,True
38,22.0,0,7,True
39,28.0,0,19,True
40,22.0,0,13,True
41,24.0,0,13,True
42,24.0,0,8,True
43,24.0,0,10,True
44,18.0,0,7,True
45,20.0,0,8,True
46,22.0,0,16,True
47,20.0,0,6,True
48,24.0,0,13,True
49,20.0,0,9,True
50,18.0,0,10,True
51,24.0,0,14,True
52,20.0,0,6,True
53,22.0,0,14,True
54,24.0,0,21,True
55,32.0,0,21,True
56,24.0,0,19,True
57,18.0,0,11,True
58,26.0,0,28,True
59,18.0,0,6,True
60,20.0,0,17,True
61,32.0,0,21,True
62,22.0,0,15,True
63,26.0,0,16,True
64,24.0,0,19,True
65,18.0,0,8,True
66,24.0,0,12,True
67,18.0,0,7,True
68,22.0,0,6,True
69,26.0,0,20,True
70,18.0,0,16,True
71,18.0,0,7,True
72,22.0,0,22,True
73,20.0,0,14,True
74,30.0,0,17,True
75,24.0,0,11,True
76,32.0,0,26,True
77,20.0,0,7,True
78,22.0,0,19,True
79,26.0,0,16,True
80,20.0,0,7,True
81,22.0,0,25,True
82,26.0,0,14,True
83,26.0,0,11,True
84,24.0,0,14,True
85,26.0,0,17,True
86,18.0,0,9,True
87,22.0,0,13,True
88,22.0,0,13,True
89,20.0,0,9,True
90,24.0,0,17,True
91,18.0,0,5,True
92,22.0,0,8,True
93,18.0,0,12,True
94,22.0,0,9,True
95,20.0,0,16,True
96,22.0,0,8,True
97,26.0,0,12,True
98,26.0,0,17,True
99,20.0,0,5,True
