,total_reward,negative_reward,trial_length,reached_destination
0,-3.0,-11.0,21,False
1,-10.0,-12.0,21,False
2,12.5,-7.5,19,True
3,6.5,-5.5,21,False
4,9.0,-21.0,56,False
5,17.0,-5.0,21,False
6,22.0,-6.0,24,True
7,12.0,-6.0,18,True
8,43.5,-2.5,25,True
9,25.0,-3.0,21,False
10,14.5,-7.5,26,False
11,26.5,-7.5,33,True
12,17.5,-2.5,12,True
13,28.5,-3.5,19,True
14,20.0,-4.0,31,False
15,20.0,-2.0,13,True
16,26.0,-6.0,26,True
17,24.0,0.0,10,True
18,33.5,-4.5,31,True
19,43.0,-3.0,25,True
20,10.5,-1.0,4,True
21,16.0,-6.0,21,True
22,26.0,-4.0,16,True
23,22.5,-5.5,23,True
24,21.5,-0.5,13,True
25,20.0,-2.0,13,True
26,28.0,-6.0,27,True
27,23.5,-4.5,25,True
28,40.0,-2.0,21,True
29,20.0,0.0,8,True
30,28.0,-2.0,17,True
31,40.0,-2.0,30,True
32,15.5,-4.5,21,False
33,15.5,-0.5,4,True
34,30.5,-5.5,22,True
35,37.5,-2.5,26,True
36,24.0,-2.0,20,True
37,33.0,-1.0,18,True
38,27.5,-0.5,13,True
39,19.0,-1.0,12,True
40,30.5,-3.5,25,True
41,32.0,-4.0,41,False
42,25.0,-1.0,18,True
43,17.5,-0.5,5,True
44,22.5,-1.5,15,True
45,27.5,-2.5,19,True
46,18.0,0.0,11,True
47,21.5,-2.0,17,True
48,28.0,0.0,19,True
49,15.5,-0.5,7,True
50,13.0,-0.5,6,True
51,24.0,-8.0,28,True
52,18.0,0.0,4,True
53,24.0,0.0,12,True
54,19.5,-0.5,15,True
55,23.0,-1.0,17,True
56,20.0,0.0,13,True
57,18.0,0.0,4,True
58,20.0,0.0,6,True
59,24.0,0.0,7,True
60,23.5,-0.5,16,True
61,29.5,-0.5,13,True
62,18.0,0.0,12,True
63,23.5,-4.0,24,True
64,22.0,0.0,10,True
65,22.5,-1.5,20,True
66,20.0,0.0,11,True
67,31.0,-1.0,26,True
68,37.0,-3.0,22,True
69,22.0,0.0,16,True
70,27.5,-0.5,16,True
71,35.0,-3.0,19,True
72,29.0,-1.0,17,True
73,17.0,-1.0,21,False
74,18.0,0.0,10,True
75,18.0,0.0,6,True
76,27.0,-1.0,12,True
77,32.5,-1.5,17,True
78,29.0,-3.0,21,True
79,13.5,-0.5,3,True
80,20.0,-2.0,9,True
81,29.0,-1.0,13,True
82,29.5,-0.5,15,True
83,23.5,-0.5,15,True
84,15.5,-0.5,5,True
85,25.0,-1.0,20,True
86,22.0,-2.0,19,True
87,30.5,-1.5,22,True
88,19.5,-2.5,15,True
89,22.0,-2.0,14,True
90,18.0,-2.0,7,True
91,26.0,-2.0,16,True
92,21.0,-1.0,17,True
93,18.0,0.0,4,True
94,25.5,-0.5,19,True
95,28.5,-1.5,23,True
96,18.0,0.0,8,True
97,31.0,-1.0,14,True
98,18.0,0.0,8,True
99,17.5,-0.5,11,True
